# t (s)	mx ()	my ()	mz ()	m_x ()	m_y ()	m_z ()	m_x.region1 ()	m_y.region1 ()	m_z.region1 ()	m_x.region2 ()	m_y.region2 ()	m_z.region2 ()
9.400065458088379e-09	0.9325528	-0.00024199825	0.00023084773	0.9325528	-0.00024199825	0.00023084773	0.9997997	-0.0005419396	0.00052710256	0.88178575	-1.5561589e-05	7.194259e-06
9.600789430882264e-09	0.93255216	0.00032737586	-0.0001253409	0.9325522	0.00032737586	-0.0001253409	0.99979436	0.0007401686	-0.0003028344	0.8817886	1.5744003e-05	8.655358e-06
9.800527273353747e-09	0.9325476	-0.00032996462	1.2890503e-05	0.9325476	-0.00032996462	1.2890502e-05	0.99979585	-0.00076878705	5.6139066e-05	0.8817794	1.3184326e-06	-1.97594e-05
1.0000124692001438e-08	0.93255377	0.00027405703	7.7543584e-05	0.93255377	0.00027405698	7.7543584e-05	0.9997968	0.0006656254	0.00015715256	0.8817896	-2.1552029e-05	1.7443885e-05
1.0201070528794828e-08	0.9325518	-0.00018733002	-0.00013475138	0.9325518	-0.00018732995	-0.00013475139	0.99979866	-0.0004789916	-0.00031109754	0.88178474	3.2856144e-05	-1.6212963e-06
1.0400479898610727e-08	0.93255013	0.00011906913	0.00014364209	0.93255013	0.00011906913	0.00014364207	0.99979997	0.00030957838	0.00035831047	0.8817806	-2.4752888e-05	-1.8418845e-05
1.0601092692319163e-08	0.93255746	-8.341751e-05	-0.00013565944	0.93255746	-8.341751e-05	-0.00013565944	0.9998032	-0.00019309575	-0.0003539927	0.88179135	-6.173684e-07	2.916826e-05
1.0800974117900063e-08	0.9325504	7.342456e-05	0.00013314858	0.9325504	7.342452e-05	0.0001331486	0.99980104	0.00013778334	0.0003377711	0.8817804	2.4838453e-05	-2.1328366e-05
1.1000582745780691e-08	0.93255514	-6.200039e-05	-0.00014032531	0.93255514	-6.200039e-05	-0.00014032531	0.9998046	-0.00010093666	-0.00032864083	0.88178617	-3.2606025e-05	1.8409121e-06
1.1200304538725415e-08	0.9325558	4.36065e-05	0.00015744861	0.93255585	4.36065e-05	0.00015744862	0.9998033	7.571314e-05	0.00034279446	0.8817881	1.936784e-05	1.7524342e-05
1.1400396298915783e-08	0.93254966	-9.120063e-06	-0.00018013948	0.93254966	-9.120063e-06	-0.00018013948	0.99980104	-3.1339685e-05	-0.00038575815	0.88177913	7.655078e-06	-2.4910518e-05
1.160078966455644e-08	0.9325561	-4.2823394e-05	0.0001964348	0.9325561	-4.2823394e-05	0.0001964348	0.999803	-5.8331923e-05	0.0004392227	0.881789	-3.1115633e-05	1.3145483e-05
1.1801091862534307e-08	0.9325527	0.0001042862	-0.00019267206	0.9325527	0.0001042862	-0.00019267206	0.99979925	0.00019831474	-0.00046129315	0.88178587	3.330058e-05	1.0119699e-05
1.20007142082583e-08	0.9325488	-0.00016357645	0.00017097189	0.9325488	-0.00016357636	0.00017097189	0.9997989	-0.00036512304	0.00043533123	0.88177943	-1.1421801e-05	-2.8602457e-05
1.220079408751707e-08	0.93255556	0.00023030065	-0.000128517	0.93255556	0.00023030068	-0.000128517	0.9997971	0.0005624085	-0.0003404261	0.8817926	-2.0419402e-05	3.1460826e-05
1.2401520763163618e-08	0.9325476	-0.00029262796	5.701812e-05	0.9325476	-0.00029262796	5.7018126e-05	0.99979514	-0.0007393285	0.00015170262	0.8817801	4.4602897e-05	-1.44626265e-05
1.2601311080987482e-08	0.93254983	0.00031880295	3.4480294e-05	0.93254983	0.00031880295	3.4480294e-05	0.99979514	0.0008005036	9.8355966e-05	0.8817839	-4.4849898e-05	-1.3741751e-05
1.280040000688901e-08	0.93255544	-0.0002900456	-0.00012625629	0.93255544	-0.0002900456	-0.00012625629	0.9997996	-0.0006973723	-0.00034133875	0.8817905	1.7460146e-05	3.6117257e-05
1.3001608280575126e-08	0.9325472	0.00019944563	0.00020062215	0.9325472	0.00019944563	0.00020062215	0.999797	0.00043661898	0.0005177224	0.88177794	2.0394618e-05	-3.876824e-05
1.3201339052339002e-08	0.9325565	-8.9554815e-05	-0.00022796047	0.9325565	-8.9554895e-05	-0.00022796048	0.99980223	-0.00014729622	-0.0005537931	0.8817903	-4.5963905e-05	1.8022307e-05
1.3400246067427793e-08	0.9325533	-2.780097e-06	0.0002161199	0.93255323	-2.7801564e-06	0.00021611991	0.9998017	-6.568219e-05	0.00048524718	0.8817851	4.4707085e-05	1.29459795e-05
1.360146350966206e-08	0.9325497	6.73868e-05	-0.0001744688	0.9325497	6.7386776e-05	-0.0001744688	0.9998019	0.00017396192	-0.00035716165	0.88177854	-1.3070655e-05	-3.654732e-05
1.380122231653305e-08	0.9325592	-7.253483e-05	0.00012651163	0.9325592	-7.253483e-05	0.00012651162	0.9998056	-0.00013716776	0.0002481537	0.8817924	-2.3741548e-05	3.467962e-05
1.4000421424824205e-08	0.9325521	3.77325e-05	-0.00010243574	0.9325521	3.77325e-05	-0.00010243574	0.99980205	2.8588773e-05	-0.00022354865	0.88178265	4.463571e-05	-1.1003218e-05
1.4200994806412738e-08	0.932551	-1.2695947e-05	0.000117922325	0.932551	-1.2695947e-05	0.000117922325	0.9998022	2.1967464e-05	0.0003006311	0.8817808	-3.8864582e-05	-2.0011132e-05
1.4400049544750265e-08	0.9325588	3.0266181e-05	-0.00016123113	0.9325587	3.0266181e-05	-0.00016123113	0.99980235	6.0695158e-05	-0.00042508438	0.881794	7.294612e-06	3.796121e-05
1.4600185094364832e-08	0.9325471	-0.00011996277	0.00019346249	0.9325471	-0.00011996277	0.00019346252	0.99979925	-0.00031422777	0.00049164105	0.881776	2.6694643e-05	-3.1643176e-05
1.4800090883783678e-08	0.9325536	0.00024543286	-0.00017054954	0.9325536	0.00024543284	-0.00017054955	0.99979794	0.00062785466	-0.00040548472	0.88178843	-4.327138e-05	6.8114955e-06
1.5000557611862165e-08	0.9325536	-0.00034685875	7.460858e-05	0.9325536	-0.00034685875	7.460858e-05	0.9997978	-0.0008514002	0.00014804315	0.8817886	3.4037643e-05	1.9170162e-05
1.5200845527915698e-08	0.9325447	0.000370297	5.9176997e-05	0.93254465	0.000370297	5.9176997e-05	0.9997926	0.0008710366	0.00018097289	0.88177687	-7.7297045e-06	-3.277111e-05
1.5400341628468733e-08	0.93255657	-0.0003098003	-0.00018420859	0.93255657	-0.0003098004	-0.00018420859	0.9997991	-0.000694332	-0.00046434777	0.88179296	-1.950304e-05	2.7278635e-05
1.560126869652468e-08	0.93254983	0.00017526747	0.00026531357	0.93254983	0.00017526747	0.00026531355	0.9997973	0.00036304878	0.0006258239	0.8817822	3.350494e-05	-6.8487298e-06
1.5801578155474442e-08	0.93254966	-2.9033932e-05	-0.00026918275	0.93254966	-2.9033932e-05	-0.00026918275	0.99979925	-3.2764376e-05	-0.0006082356	0.8817805	-2.6217253e-05	-1.3219482e-05
1.6000110450643054e-08	0.93255806	-6.6800596e-05	0.0002168567	0.93255806	-6.6800596e-05	0.00021685669	0.9998024	-0.00016497534	0.00047459212	0.88179284	7.315726e-06	2.2282922e-05
1.6200418439221007e-08	0.93254983	0.000105721716	-0.00014731142	0.93254983	0.000105721716	-0.00014731142	0.9998006	0.00022874525	-0.00031831992	0.8817797	1.2846843e-05	-1.8210952e-05
1.640043259940977e-08	0.93255377	-8.718964e-05	9.858434e-05	0.9325537	-8.718964e-05	9.858434e-05	0.99980366	-0.00017182842	0.00022431917	0.88178426	-2.3292401e-05	3.6625877e-06
1.66009497300059e-08	0.93255806	4.1979776e-05	-9.108794e-05	0.93255806	4.1979736e-05	-9.108794e-05	0.9998042	7.518773e-05	-0.00022770597	0.8817914	1.6909582e-05	1.2049936e-05
1.680126704475226e-08	0.93254846	-2.287343e-05	0.00012388459	0.93254846	-2.287343e-05	0.0001238846	0.999802	-5.216195e-05	0.00031146515	0.8817763	-7.629533e-07	-1.772675e-05
1.7001560913003898e-08	0.9325571	6.396592e-05	-0.00016162543	0.9325571	6.396596e-05	-0.00016162543	0.99980307	0.00016841714	-0.00039099675	0.88179094	-1.4888424e-05	1.1535246e-05
1.7200012033412755e-08	0.93255305	-0.00014992311	0.00016703736	0.9325531	-0.00014992307	0.00016703736	0.99980223	-0.00037564046	0.0003873011	0.8817842	2.0479145e-05	7.523166e-07
1.7401135235288565e-08	0.9325486	0.00025801727	-0.00011769776	0.9325486	0.00025801721	-0.00011769775	0.99979734	0.0006153772	-0.00025614485	0.88178015	-1.176676e-05	-1.3179073e-05
1.7600510871455064e-08	0.93255675	-0.00033022437	3.1703803e-05	0.93255675	-0.00033022428	3.1703803e-05	0.9997996	-0.00076319324	5.3180152e-05	0.8817928	-3.3604974e-06	1.5490532e-05
1.7800997728173864e-08	0.9325471	0.00034399802	8.222148e-05	0.9325471	0.00034399802	8.222147e-05	0.99979377	0.00077923515	0.00019915115	0.88178	1.5421543e-05	-6.052956e-06
1.8001146391969562e-08	0.9325503	-0.0002818019	-0.00018702085	0.9325503	-0.0002818019	-0.00018702085	0.9997966	-0.00063559384	-0.00042667222	0.88178355	-1.4711479e-05	-6.0994057e-06
1.8201070991087537e-08	0.93255514	0.0001644164	0.00025567898	0.9325551	0.0001644164	0.00025567898	0.99979794	0.00038007245	0.0005775273	0.88179094	1.6099484e-06	1.2704132e-05
1.8401380536476866e-08	0.93254834	-3.0684085e-05	-0.00027145806	0.93254834	-3.0684085e-05	-0.00027145806	0.99979794	-8.55218e-05	-0.0006199772	0.8817793	1.0714506e-05	-8.348331e-06
1.86002751262876e-08	0.93255436	-6.764571e-05	0.00024129558	0.93255424	-6.764571e-05	0.00024129558	0.9998002	-0.00013684575	0.0005662743	0.88178796	-1.540465e-05	-4.042591e-06
1.880103858760992e-08	0.9325537	0.0001273887	-0.00018453777	0.9325537	0.0001273887	-0.00018453777	0.9998009	0.0002899694	-0.0004464271	0.8817863	4.650616e-06	1.3171905e-05
1.9001281989812453e-08	0.9325497	-0.000136931	0.00012415627	0.9325497	-0.00013693092	0.00012415627	0.9998017	-0.0003324368	0.00030307478	0.88177866	1.0663347e-05	-1.09157645e-05
1.9200964130146992e-08	0.9325586	0.00011311431	-8.2207844e-05	0.9325586	0.00011311431	-8.2207844e-05	0.9998037	0.000283182	-0.00018921604	0.8817929	-1.5275888e-05	-1.4235087e-06
1.9400925047703793e-08	0.9325518	-8.532407e-05	7.516837e-05	0.9325518	-8.532407e-05	7.516837e-05	0.9998042	-0.00020844191	0.00015634365	0.8817805	7.622472e-06	1.3886226e-05
1.960068515028323e-08	0.9325528	8.922322e-05	-9.2261165e-05	0.9325528	8.922322e-05	-9.2261165e-05	0.99980223	0.00019342212	-0.00019652121	0.88178396	1.0559783e-05	-1.35514865e-05
1.980091205596034e-08	0.9325571	-0.00013491763	0.00010553022	0.9325571	-0.00013491762	0.00010553023	0.9998042	-0.00028431532	0.0002471763	0.8817898	-2.213153e-05	-1.4035226e-06
2.0001241894053674e-08	0.9325497	0.00020848252	-8.779034e-05	0.93254966	0.00020848252	-8.779034e-05	0.99979943	0.00046822993	-0.00023028777	0.8817804	1.2389944e-05	1.9786126e-05
2.0200160353516963e-08	0.9325531	-0.00027414865	3.147632e-05	0.9325531	-0.00027414862	3.1476317e-05	0.99979943	-0.0006504762	0.000106747895	0.8817865	9.955222e-06	-2.5348916e-05
2.04007304140764e-08	0.9325521	0.00030620323	6.338541e-05	0.9325521	0.00030620323	6.338541e-05	0.9997962	0.00075377704	0.00013319716	0.881787	-3.168565e-05	1.0681997e-05
2.0600048897641834e-08	0.9325487	-0.00028757224	-0.00016297685	0.9325487	-0.00028757224	-0.00016297687	0.99979645	-0.0007123861	-0.0003984078	0.8817809	3.313582e-05	1.4758463e-05
2.0800800619362023e-08	0.93255335	0.00020542613	0.00025747594	0.93255335	0.00020542617	0.00025747594	0.9997965	0.00048823023	0.000642136	0.88178915	-8.073002e-06	-3.2917782e-05
2.100013666341505e-08	0.9325506	-7.349872e-05	-0.00030607663	0.9325506	-7.349872e-05	-0.00030607663	0.9997986	-0.00014015684	-0.0007475266	0.88178265	-2.3175407e-05	2.7189868e-05
2.1201148678966073e-08	0.93255055	-8.576485e-05	0.00029006958	0.93255055	-8.576489e-05	0.00029006958	0.99979794	-0.00025090028	0.0006749467	0.88178307	3.890162e-05	-4.880379e-07
2.1401693953231662e-08	0.93255514	0.000196202	-0.00021397024	0.93255514	0.000196202	-0.00021397026	0.99979925	0.00048818157	-0.00046145453	0.88179016	-2.4224131e-05	-2.7135417e-05
2.1600497194004805e-08	0.932551	-0.00022485835	0.00012333281	0.932551	-0.00022485835	0.00012333281	0.9998019	-0.00051067694	0.00023930591	0.88178086	-9.083513e-06	3.578051e-05
2.1801569201595397e-08	0.93255407	0.00018820835	-4.52808e-05	0.93255407	0.00018820835	-4.52808e-05	0.9998017	0.00038303324	-8.2127386e-05	0.8817866	4.1129075e-05	-1.7463988e-05
2.200029043736112e-08	0.9325551	-0.00012002541	1.7795184e-05	0.9325551	-0.00012002541	1.7795184e-05	0.99980485	-0.00021727658	6.148126e-05	0.8817857	-4.6606678e-05	-1.5185015e-05
2.2200256722328e-08	0.9325529	7.298472e-05	-3.2401007e-05	0.9325529	7.298472e-05	-3.2401007e-05	0.9998033	0.00014311248	-0.00013084977	0.8817831	2.0042598e-05	4.1921532e-05
2.240096706313469e-08	0.93255496	-8.9663765e-05	6.1542494e-05	0.93255496	-8.9663765e-05	6.1542494e-05	0.99980396	-0.00023612297	0.00020057896	0.88178647	2.0903715e-05	-4.342118e-05
2.2600081200329215e-08	0.9325537	0.00015739366	-7.27935e-05	0.9325537	0.00015739357	-7.27935e-05	0.9998022	0.0004339023	-0.00019541367	0.88178533	-5.1353036e-05	1.9776899e-05
2.2801145294690624e-08	0.93255144	-0.00024794685	3.3685348e-05	0.93255144	-0.0002479468	3.3685348e-05	0.99980056	-0.00064643106	5.649128e-05	0.88178265	5.2883235e-05	1.6468317e-05
2.3000758052785248e-08	0.9325528	0.0003093081	4.9728715e-05	0.9325528	0.0003093081	4.9728715e-05	0.99979645	0.0007509371	0.00017081042	0.8817883	-2.4093983e-05	-4.1680258e-05
2.320086650549542e-08	0.9325501	-0.00029995598	-0.00016737428	0.9325501	-0.00029995598	-0.0001673743	0.9997978	-0.000677323	-0.0004447798	0.88178205	-1.50690375e-05	4.2049178e-05
2.340031338508063e-08	0.93255126	0.00020737403	0.00027474252	0.93255126	0.00020737403	0.00027474252	0.99979556	0.0004241594	0.0006639013	0.8817861	4.371485e-05	-1.904748e-05
